DATE,OPEN,HIGH,LOW,PREV. CLOSE,VOLUME,VALUE,NO OF TRADES,CLOSE 
28-09-2022,1379,1405.85,1377,1393.55,7022098,9808375443,235532,1394.7
29-09-2022,1404.9,1409.85,1393,1394.7,6119965,8562686107,189378,1398.65
30-09-2022,1388.95,1419.3,1376,1398.65,8120130,11365839916,235225,1413.45
03-10-2022,1412,1412,1386,1413.45,4943169,6914590030,164361,1393.75
04-10-2022,1419.7,1432.25,1414,1393.75,6631341,9460607736,165041,1429.4
06-10-2022,1445,1459.8,1444.1,1429.4,6180672,8982353045,186110,1455.15
07-10-2022,1446.35,1457.85,1440.15,1455.15,3994466,5788640010,163553,1451.2
10-10-2022,1426.35,1465,1426.35,1451.2,5274677,7643648787,202762,1462.65
11-10-2022,1462.65,1479.65,1420.1,1462.65,12824774,18601299292,357001,1423.8
12-10-2022,1437,1441.1,1413.55,1423.8,5481467,7842489843,161320,1428.7
13-10-2022,1431,1437.95,1415,1428.7,4821514,6861725912,137929,1419.9
14-10-2022,1485,1494,1467.25,1419.9,14990688,22198728912,388421,1474.25
17-10-2022,1476.9,1495,1475.5,1474.25,4286396,6380187690,176595,1489.95
18-10-2022,1510,1510.95,1497.25,1489.95,4692004,7056526674,119660,1503.7
19-10-2022,1504,1504.95,1481.3,1503.7,3553171,5290752776,112770,1485.45
20-10-2022,1475,1504,1474.2,1485.45,4583939,6858028457,140049,1500.9
21-10-2022,1500.3,1506,1491.35,1500.9,3594485,5391188979,98291,1500.5
24-10-2022,1518.5,1521.8,1511,1500.5,982837,1492489543,56514,1517.85
25-10-2022,1528.1,1532.9,1521.05,1517.85,3914341,5976717985,119608,1526.3
27-10-2022,1530.8,1534.9,1512.5,1526.3,6760137,10300114910,168640,1523.95
28-10-2022,1526,1527.95,1507,1523.95,3053981,4629123565,147417,1513.25
31-10-2022,1530.25,1546.4,1530.25,1513.25,4542336,6985210436,136286,1537.65
01-11-2022,1553.05,1575,1547.1,1537.65,4542692,7094018929,158171,1573
02-11-2022,1572,1572.75,1545,1573,2938906,4564665624,116831,1553.3
03-11-2022,1538.75,1543.9,1521.65,1553.3,3174027,4862085396,131708,1530.75
04-11-2022,1520.45,1520.45,1501.15,1530.75,4509682,6807247315,155259,1514
07-11-2022,1521.4,1527.9,1491.1,1514,4898592,7377630657,175332,1507.45
09-11-2022,1529,1529,1501.1,1507.45,3334755,5054651935,101945,1511.2
10-11-2022,1485,1512,1485,1511.2,3435763,5158511138,114576,1501.95
11-11-2022,1546.65,1573.5,1546.65,1501.95,7214098,11279201381,233749,1570.1
14-11-2022,1575.15,1591.4,1568.45,1570.1,4908813,7772857522,134054,1585.3
15-11-2022,1577.85,1597.85,1572.75,1585.3,3497614,5545624936,122547,1594
16-11-2022,1597.15,1609,1593.5,1594,4497697,7208007206,176176,1602.8
17-11-2022,1597.2,1602.8,1582.95,1602.8,3469515,5525464431,107072,1587.4
18-11-2022,1591.7,1598,1575.5,1587.4,3126064,4959081574,123526,1593.4
21-11-2022,1582.1,1587.85,1564.05,1593.4,3071764,4826480056,127843,1568.2
22-11-2022,1569,1588,1562,1568.2,3399329,5357454858,132533,1585.05
23-11-2022,1588.9,1592,1579.3,1585.05,3245067,5143987145,99116,1583.15
24-11-2022,1589,1636,1584.75,1583.15,5282215,8530167324,154105,1629.8
25-11-2022,1631.4,1644,1613.8,1629.8,4563255,7426019017,181147,1635.65
28-11-2022,1628,1653.5,1620,1635.65,3825766,6264902016,144926,1623.4
29-11-2022,1621.2,1638.75,1615.05,1623.4,3131710,5096717762,116838,1629.05
30-11-2022,1619.95,1645.75,1613.15,1629.05,11868134,19352938429,157980,1634.95
01-12-2022,1656.2,1672.6,1652.3,1634.95,5407928,8980336641,214832,1657.1
02-12-2022,1656,1661.8,1633.95,1657.1,4283343,7036188258,144010,1637.9
05-12-2022,1638,1644.85,1623.3,1637.9,3824966,6251921099,133011,1639.75
06-12-2022,1625,1626,1607.55,1639.75,4822398,7786470439,162481,1612.9
07-12-2022,1608,1623.8,1596.7,1612.9,4898087,7898460952,150548,1605.5
08-12-2022,1605.5,1623.9,1598.5,1605.5,4206837,6780022876,156038,1620.15
09-12-2022,1628,1628,1561.1,1620.15,8880658,14045108336,324427,1569.3
12-12-2022,1550,1565.95,1530.05,1569.3,8037679,12424327972,252048,1547.2
13-12-2022,1547.2,1577.5,1541.15,1547.2,6135067,9592274372,156994,1572.15
14-12-2022,1582,1588.5,1573,1572.15,4976020,7869515573,143293,1579.4
15-12-2022,1569.3,1570,1535.25,1579.4,6443866,9982526580,185365,1540.5
16-12-2022,1525,1549.5,1512.05,1540.5,9630453,14703523653,191749,1522.2
19-12-2022,1507.95,1516.9,1495.05,1522.2,6222740,9381570381,208003,1507.35
20-12-2022,1501,1516,1482.45,1507.35,7396259,11090163957,252252,1507.3
21-12-2022,1515,1521,1502.35,1507.3,6236361,9425717455,168630,1509.55
22-12-2022,1521.5,1529.95,1511.75,1509.55,6302640,9588515437,162243,1522.05
23-12-2022,1508.7,1509.9,1493,1522.05,6283822,9437376870,209853,1497.1
26-12-2022,1500.5,1509.9,1496.35,1497.1,4115459,6189868085,128273,1502.4
27-12-2022,1509.95,1521.45,1497.5,1502.4,4860076,7338689837,151234,1514.85
28-12-2022,1505.1,1524.95,1498.5,1514.85,5029860,7600016720,138568,1510.15
29-12-2022,1504,1521.3,1501,1510.15,4624745,6990342622,116090,1517.55
30-12-2022,1528,1530.4,1504.05,1517.55,5060544,7683272020,123954,1508.2
